Complex ID,Charge,Shift,Dipole_point_q,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,9,11,13,14,21,23,37,40,41,42,43,46,Source_doi
63,-2000,-5483,403.4539384,-83,[PtBrI5] 2-,anion,oct,hal,[Pt@OH1]([I])([I])([I])([I])([I])[Br],1499.38078,1505.818538,1505.817602,1505.817461,1505.816492,1051.426797,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
64,-2000,-6293,0.000177858,-156,[PtI6] 2-,anion,oct,hal,[Pt@OH1]([I])([I])([I])([I])([I])[I],1499.789439,1499.788753,1499.787343,1499.786667,1499.786439,1499.786042,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
65,0,-1565,1107.43399,116,cis-Pt(NH 3) 2(Ac)2,neutral,sq-pl,org,[Pt@SP1](OC(=O)C)([NH3+])([NH3+])OC(=O)C,304.3455917,304.3419478,262.5546687,262.5520846,186.424225,186.4223665,155.1402732,107.2006014,31.25348304,29.12682052,29.12418768,15.54668121,0,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
66,0,-1686,3146.573327,11,cis-Pt(NH 3) 2(bumal) 2,neutral,sq-pl,org,[Pt@SP1]1(OC(=O)C(C(=O)O1)CCCC)([NH3+])[NH3+],311.6169466,310.4510102,256.0476808,256.05395,154.7486531,154.2762772,162.1796008,152.1118237,113.2158744,101.4133191,33.17684762,25.0779874,19.21001298,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
67,0,-1860,3317.275925,-21,cis-Pt(EtNH 2) 2(CBDCA) 2,neutral,sq-pl,org,[Pt@SP1]1(OC(=O)C2(CCC2)C(=O)O1)([NH2+]CC)[NH2+](CC),309.9890907,309.8466553,257.7679805,256.7735048,155.0374294,155.023434,163.3876874,157.6957371,153.5828362,145.9961482,138.5877186,28.45490481,26.98403672,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
68,0,-1887,3715.314144,20,cis-Pt(Me2NH)2(Ox),neutral,sq-pl,org,[Pt@SP1]1(OC(=O)C(=O)O1)([NH+](C)C)[NH+](C)C,314,314,260,260,170,170,159,156,151,32.3,32.3,22.9,19.6,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
69,0,-1882,3493.914257,13,cis-Pt(Me2NH)2(Mal),neutral,sq-pl,org,[Pt@SP1]1(OC(=O)CC(=O)O1)([NH+](C)C)[NH+](C)C,310,310,261,261,155,155,162,159,154,150,32.3,24.1,23.2,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
70,0,-1988,3734.936392,49,cis-Pt(Me 2 en) 2(Ox),neutral,sq-pl,org,[Pt@SP1]12([NH+](CC[NH+]1C)C)OC(=O)C(=O)O2,314.8452108,314.8408553,261.3071157,261.3011779,157.7749058,157.7738277,168.271004,161.4152428,156.1291636,30.56225786,30.55871528,20.02088776,19.5477464,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
71,0,-1970,3784.886111,21,cis-Pt(Me 4 en) 2(Ox),neutral,sq-pl,org,[Pt@SP1]12([N+](CC[N+]1(C)C)(C)C)OC(=O)C(=O)O2,313.7393015,313.7383287,263.6855964,263.6833226,157.5834887,157.5829322,168.0930635,162.4192718,162.4027553,160.1751763,160.1495093,25.47342152,24.08584169,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
72,0,-1974,3496.123162,36,cis-Pt(Me 2 en) 2(Mal),neutral,sq-pl,org,[Pt@SP1]12([NH+](CC[NH+]1C)C)OC(=O)CC(=O)O2,311.3752871,311.2933582,261.1117688,260.2345811,154.4864551,154.4247544,162.0309161,162.5008637,154.6419624,154.0165323,31.04000968,24.22636423,20.06593957,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
73,0,-1976,3571.802814,8,cis-Pt(Me 4 en) 2(Mal),neutral,sq-pl,org,[Pt@SP1]12([N+](CC[N+]1(C)C)(C)C)OC(=O)CC(=O)O2,310.1119823,310.0728913,263.4302473,262.61701,154.3018566,154.290931,162.0295756,162.9900994,163.9655992,159.7816311,158.1545462,25.64865852,25.3695507,0,0,0,0,0,0,https://doi.org/10.1002/jcc.24461
