Rho at Nucleus;DelSqRho;V;G;K;L;Vnuc;Ven;Vrep;DelSqV;DelSqVen;DelSqVrep;DelSqG;DelSqK;ESP;ESP at Nucleus;ESPe;ESPe at Nucleus;ESPn;ESPn at Nucleus;q(A);L(A);K(A);|Mu_Intra(A)|;Shift;Brutto;Complex;Geometry;Charge_class;Ligand;Source_doi;Molecular dipole;Smiles
1858097.658;-10166400000000.0;-2542040000000.0;217401279.3;2541820000000.0;2541600000000.0;7800000029;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34793e+32;4.63654e+18;-4.52296e+19;-610.4573808;-610.4573808;-639.8643393;-639.8643393;29.40695846;29.40695846;1.290199622;0.000143839;24953.49612;0.45877769;2907;mer-[PtBr3F3] 2-;30;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.503;[Pt-2]([Br])([F])([F])([Br])([Br])[F]
1858097.845;-10166400000000.0;-2542040000000.0;217402574.8;2541820000000.0;2541600000000.0;7800000020;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4583801;-610.4583801;-630.5009441;-630.5009441;20.04256401;20.04256401;1.332547082;0.000110715;24953.47567;0.001659948;2534;trans-[PtCl4F2] 2-;31;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00162;[Pt-2]([F])([Cl])([Cl])([F])([Cl])[Cl]
1858097.558;-10166400000000.0;-2542040000000.0;217402334.8;2541820000000.0;2541600000000.0;7800000030;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.3478999999999995e+32;4.63654e+18;-4.52296e+19;-610.4554376;-610.4554376;-639.9723239;-639.9723239;29.51688632;29.51688632;1.284572456;8.98e-05;24953.49679;0.794003143;2487;fac-[PtBr3F3] 2-;32;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.87;[Pt-2]([F])([F])([F])([Br])([Br])[Br]
1858097.936;-10166400000000.0;-2542040000000.0;217403219.8;2541820000000.0;2541600000000.0;7800000020;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52296e+19;-610.4576007;-610.4576007;-630.5329915;-630.5329915;20.07539074;20.07539074;1.330568478;0.000293334;24953.47853;0.452343108;2171;cis-[PtCl4F2] 2-;33;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.434;[Pt-2]([Cl])([Cl])([Cl])([Cl])([F])[F]
1858098.378;-10166400000000.0;-2542040000000.0;217398388.4;2541820000000.0;2541610000000.0;7800000034;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4488707;-610.4488707;-644.7376809;-644.7376809;34.28881017;34.28881017;1.074831733;-9.76e-06;24953.54716;0.002188923;1157;trans-[PtBr4F2] 2-;34;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00217;[Pt-2]([F])([Br])([Br])([F])([Br])[Br]
1858098.323;-10166400000000.0;-2542040000000.0;217399376.3;2541820000000.0;2541610000000.0;7800000034;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34792e+32;4.63654e+18;-4.52296e+19;-610.4473313;-610.4473313;-644.8551939;-644.8551939;34.40786265;34.40786265;1.066663995;-0.000245653;24953.55041;0.653880295;1142;cis-[PtBr4F2] 2-;35;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.608;[Pt-2]([F])([Br])([Br])([Br])([Br])[F]
1858098.437;-10166400000000.0;-2542040000000.0;217401499.2;2541820000000.0;2541610000000.0;7800000021;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4503873;-610.4503873;-631.8880889;-631.8880889;21.43770165;21.43770165;1.17842527;-0.000214596;24953.5131;0.32118762;1111;[PtCl5F]2-;36;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.275;[Pt-2]([F])([Cl])([Cl])([Cl])([Cl])[Cl]
1858098.706;-10166400000000.0;-2542040000000.0;217399777.6;2541820000000.0;2541610000000.0;7800000023;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4440462;-610.4440462;-633.2353811;-633.2353811;22.79133489;22.79133489;1.023608485;-0.000365173;24953.54663;0.002388935;0;[PtCl6] 2-;37;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00236;[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl]
1858098.727;-10166400000000.0;-2542040000000.0;217398777.3;2541820000000.0;2541610000000.0;7800000026;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4421392;-610.4421392;-636.7919402;-636.7919402;26.34980107;26.34980107;0.958363484;0.000386478;24953.56468;0.135690195;-286;[PtCl5Br]2-;38;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.179;[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Br]
1858098.666;-10166400000000.0;-2542040000000.0;217396463.7;2541820000000.0;2541610000000.0;7800000039;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34793e+32;4.63654e+18;-4.52296e+19;-610.440682;-610.440682;-649.7119451;-649.7119451;39.27126308;39.27126308;0.845112385;-0.000243555;24953.60026;0.465493979;-311;[PtBr5F]2-;39;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.371;[Pt-2]([Br])([F])([Br])([Br])([Br])[Br]
