Rho at Nucleus,DelSqRho,V,G,L,Vnuc,Ven,Vrep,DelSqVen,DelSqVrep,DelSqK,ESP,ESPe,q(A),L(A),K(A),|Mu_Intra(A)|,Brutto,Complex,Geometry,Charge_class,Ligand,Molecular dipole,Shift,Smiles,Source_doi
1858098.694,-10166400000000.00,-2542040000000.00,217396760.20,2541610000000.00,7800000034.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229600000000000000.00,-610.4388175,-643.9145252,0.823502994,0.000128106,24953.59864,0.237471614,fac-[PtCl3Br3] 2-,46,oct,anion,hal,0.28,-892,[Pt-2]([Cl])([Cl])([Cl])([Br])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858098.756,-10166400000000.00,-2542040000000.00,217396718.40,2541610000000.00,7800000034.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4389416,-643.890197,0.824826501,3.71E-05,24953.59904,0.139572571,mer-[PtCl3Br3] 2-,47,oct,anion,hal,0.165,-894,[Pt-2]([Cl])([Cl])([Br])([Br])([Br])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.709,-10166400000000.00,-2542040000000.00,217395716.00,2541610000000.00,7800000037.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229600000000000000.00,-610.4374994,-647.4559433,0.755770977,-0.000395682,24953.61519,0.196371338,cis-[PtCl2Br4] 2-,48,oct,anion,hal,0.219,-1213,[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.766,-10166400000000.00,-2542040000000.00,217395670.30,2541610000000.00,7800000037.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4376034,-647.4289903,0.757127895,-0.000352527,24953.61503,0.004460847,trans-[PtCl2Br4] 2-,49,oct,anion,hal,0.00443,-1216,[Pt-2]([Cl])([Br])([Br])([Cl])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858098.704,-10166400000000.00,-2542040000000.00,217394674.20,2541610000000.00,7800000041.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4363188,-651.0003501,0.688624762,2.42E-05,24953.63175,0.14310117,[PtClBr5] 2-,50,oct,anion,hal,0.151,-1547,[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Br],https://doi.org/10.1002/ejic.201600573
1858098.493,-10166400000000.00,-2542040000000.00,217395713.40,2541610000000.00,7800000036.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229600000000000000.00,-610.4380105,-646.2328532,0.703020262,7.69E-05,24953.63515,0.483071436,cis-[PtCl4I2] 2-,51,oct,anion,hal,0.376,-1806,[Pt-2]([Cl])([Cl])([Cl])([Cl])([I])[I],https://doi.org/10.1002/ejic.201600573
1858098.842,-10166400000000.00,-2542040000000.00,217395560.30,2541610000000.00,7800000036.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4383195,-646.1002601,0.718501331,0.000293906,24953.63252,0.000616267,trans-[PtCl4I2] 2-,52,oct,anion,hal,0.000594,-1884,[Pt-2]([Cl])([Cl])([I])([Cl])([Cl])[I],https://doi.org/10.1002/ejic.201600573
1858098.636,-10166400000000.00,-2542040000000.00,217393589.30,2541610000000.00,7800000044.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4352062,-654.5349899,0.619743871,-0.000352602,24953.64563,0.003666625,[PtBr6] 2-,53,oct,anion,hal,0.00362,-1891,[Pt-2]([Br])([Br])([Br])([Br])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858098.574,-10166400000000.00,-2542040000000.00,217392599.10,2541610000000.00,7800000047.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.434497,-657.4650377,0.525713465,0.0002214,24953.67316,0.208910402,[PtBr5I]2-,54,oct,anion,hal,0.0912,-2545,[Pt-2]([Br])([Br])([Br])([Br])([Br])[I],https://doi.org/10.1002/ejic.201600573
1858098.227,-10166400000000.00,-2542040000000.00,217393717.40,2541610000000.00,7800000042.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434791000000000000000000000000000.00,-45229600000000000000.00,-610.4358114,-652.7490959,0.533641036,-0.000230735,24953.67751,0.607997581,fac-[PtCl3I3] 2-,55,oct,anion,hal,0.415,-2849,[Pt-2]([I])([Cl])([Cl])([Cl])([I])[I],https://doi.org/10.1002/ejic.201600573
