Rho at Nucleus,DelSqRho,V,G,K,L,Vnuc,Ven,Vrep,DelSqV,DelSqVen,DelSqVrep,DelSqG,DelSqK,ESP,ESP at Nucleus,ESPe,ESPe at Nucleus,ESPn,ESPn at Nucleus,q(A),L(A),K(A),K_Scaled(A),|Mu_Intra(A)|,Shift,Brutto,Complex,Geometry,Charge_class,Ligand,Source_doi,Molecular dipole,Smiles
1858094.638,-1.01664E+13,-2.54204E+12,217406714.6,2.54182E+12,2.5416E+12,7800000016,-1.44931E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34794E+32,4.63653E+18,-4.52295E+19,-610.4887843,-610.4887843,-626.368883,-626.368883,15.88009867,15.88009867,1.763062129,-0.000355654,24953.36992,-24953.36992,0.317532869,5856,[PtClF5] 2-,25,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,4.42E-01,[Pt-2]([F])([F])([F])([F])([F])[Cl]
1858094.924,-1.01664E+13,-2.54204E+12,217405911.3,2.54182E+12,2.5416E+12,7800000020,-1.44931E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34792E+32,4.63653E+18,-4.52295E+19,-610.4834292,-610.4834292,-629.9613625,-629.9613625,19.47793326,19.47793326,1.705178684,-0.000298042,24953.38782,-24953.38782,0.44425441,5669,[PtBrF5] 2-,26,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,7.02E-01,[Pt-2]([F])([F])([F])([F])([F])[Br]
1858096,-1.01664E+13,-2.54204E+12,217405173,2.54182E+12,2.5416E+12,7800000017,-1.44931E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52295E+19,-610.4775423,-610.4775423,-627.7431157,-627.7431157,17.26557333,17.26557333,1.624512287,-9.34E-05,24953.40499,-24953.40499,0.002137114,4887,trans-[PtCl2F4] 2-,27,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.17E-03,[Pt-2]([Cl])([F])([F])([Cl])([F])[F]
1858096.627,-1.01664E+13,-2.54204E+12,217403105.2,2.54182E+12,2.5416E+12,7800000024,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4701264,-610.4701264,-634.8733471,-634.8733471,24.40322065,24.40322065,1.503442773,-0.000254329,24953.44367,-24953.44367,0.003195514,4551,trans-[PtBr2F4] 2-,28,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,3.23E-03,[Pt-2]([Br])([F])([F])([Br])([F])[F]
1858096.035,-1.01664E+13,-2.54204E+12,217405863.7,2.54182E+12,2.5416E+12,7800000017,-1.44931E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52295E+19,-610.4763977,-610.4763977,-627.770546,-627.770546,17.29414832,17.29414832,1.62406688,-1.75E-06,24953.40535,-24953.40535,0.453110386,4547,cis-[PtCl2F4] 2-,29,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,5.54E-01,[Pt-2]([Cl])([Cl])([F])([F])([F])[F]
1858096.453,-1.01664E+13,-2.54204E+12,217404186.9,2.54182E+12,2.5416E+12,7800000025,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34791E+32,4.63654E+18,-4.52296E+19,-610.4677503,-610.4677503,-634.966714,-634.966714,24.49896372,24.49896372,1.500166469,-0.000359142,24953.44109,-24953.44109,0.640827374,4136,cis-[PtBr2F4] 2-,30,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,8.38E-01,[Pt-2]([F])([F])([F])([F])([Br])[Br]
1858097.089,-1.01664E+13,-2.54204E+12,217404234.8,2.54182E+12,2.5416E+12,7800000019,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52296E+19,-610.4667914,-610.4667914,-629.1392871,-629.1392871,18.67249578,18.67249578,1.479871528,-0.000159353,24953.4409,-24953.4409,0.321082754,3551,mer-[PtCl3F3] 2-,31,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,3.47E-01,[Pt-2]([Cl])([F])([F])([Cl])([Cl])[F]
1858097.164,-1.01664E+13,-2.54204E+12,217404918.7,2.54182E+12,2.5416E+12,7800000019,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34793E+32,4.63654E+18,-4.52296E+19,-610.4658402,-610.4658402,-629.1701105,-629.1701105,18.70427032,18.70427032,1.478857197,8.47E-05,24953.44297,-24953.44297,0.553105757,3191,fac-[PtCl3F3] 2-,32,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,5.97E-01,[Pt-2]([F])([F])([F])([Cl])([Cl])[Cl]
1858097.658,-1.01664E+13,-2.54204E+12,217401279.3,2.54182E+12,2.5416E+12,7800000029,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34793E+32,4.63654E+18,-4.52296E+19,-610.4573808,-610.4573808,-639.8643393,-639.8643393,29.40695846,29.40695846,1.290199622,0.000143839,24953.49612,-24953.49612,0.45877769,2907,mer-[PtBr3F3] 2-,33,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,5.03E-01,[Pt-2]([Br])([F])([F])([Br])([Br])[F]
1858097.845,-1.01664E+13,-2.54204E+12,217402574.8,2.54182E+12,2.5416E+12,7800000020,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4583801,-610.4583801,-630.5009441,-630.5009441,20.04256401,20.04256401,1.332547082,0.000110715,24953.47567,-24953.47567,0.001659948,2534,trans-[PtCl4F2] 2-,34,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,1.62E-03,[Pt-2]([F])([Cl])([Cl])([F])([Cl])[Cl]
