Complex ID;Source_doi;Charge;Shift;Dipole_point_q;q;Brutto;Charge_class;Geometry;Ligand;Smiles;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
32;https://doi.org/10.1002/ejic.201600573;-2000;2487;962.5169532;632.0;fac-[PtBr3F3] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([Br])([Br])[Br];1086.679589;1086.67887;1086.679028;350.3969926;350.3970254;350.3969947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;https://doi.org/10.1002/ejic.201600573;-2000;2171;101.3629248;662.0;cis-[PtCl4F2] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([F])[F];563.0644989;563.0644919;561.5307706;561.5301637;351.4569728;351.4569683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;https://doi.org/10.1002/ejic.201600573;-2000;1157;6.09e-05;513.0;trans-[PtBr4F2] 2-;anion;oct;hal;[Pt@OH1]([F])([Br])([Br])([Br])([Br])[F];1075.523178;1075.523165;1075.522303;1075.522306;354.4742405;354.4742113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;https://doi.org/10.1002/ejic.201600573;-2000;1142;659.6543214;513.0;cis-[PtBr4F2] 2-;anion;oct;hal;[Pt@OH1]([F])([Br])([Br])([Br])([F])[Br];1080.853818;1080.854107;1077.004163;1077.001552;349.9079199;349.9079149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;https://doi.org/10.1002/ejic.201600573;-2000;1111;57.07163677;579.0;[PtCl5F]2-;anion;oct;hal;[Pt@OH1]([F])([Cl])([Cl])([Cl])([Cl])[Cl];562.5325253;560.4599024;560.4593583;560.4592453;560.4585782;351.4164024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;https://doi.org/10.1002/ejic.201600573;-2000;0;0.001333351;496.0;[PtCl6] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl];559.7806737;559.7806414;559.7796998;559.779701;559.7716715;559.7716281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;https://doi.org/10.1002/ejic.201600573;-2000;-286;687.873655;463.0;[PtCl5Br]2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Br];1089.911803;557.5561157;557.5560849;557.5560664;557.5560335;559.2874029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;https://doi.org/10.1002/ejic.201600573;-2000;-311;387.3071615;391.0;[PtBr5F]2-;anion;oct;hal;[Pt@OH1]([Br])([F])([Br])([Br])([Br])[Br];1075.266232;1072.436131;1072.436035;1072.435024;1072.433444;349.4725002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;https://doi.org/10.1002/ejic.201600573;-2000;-583;929.547763;426.0;cis-[PtCl4Br2] 2-;anion;oct;hal;[Pt@OH1]([Br])([Br])([Cl])([Cl])([Cl])[Cl];1089.091489;1089.091379;554.9493881;554.9493884;556.6307037;556.6306691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;https://doi.org/10.1002/ejic.201600573;-2000;-585;0.000367865;428.0;trans-[PtCl4Br2] 2-;anion;oct;hal;[Pt@OH1]([Br])([Cl])([Cl])([Cl])([Cl])[Br];1081.150417;1081.149195;555.5477147;555.5477257;555.5477052;555.5477013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;https://doi.org/10.1002/ejic.201600573;-2000;-854;1295.710963;401.0;[PtCl5I]2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[I];1546.878328;556.620129;556.6201312;556.6201325;556.6201345;562.0699715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;https://doi.org/10.1002/ejic.201600573;-2000;-892;1071.320988;388.0;fac-[PtCl3Br3] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Br])([Br])[Br];1085.746964;1085.746952;1085.746849;553.7953685;553.7953474;553.7953444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
