Complex,Source_doi,Charge,Shift,Dipole,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
30,https://doi.org/10.1002/ejic.201600573,-2000,4136,1536.5,747,cis-[PtBr2F4] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([F])([Br])[Br],1091.838535,1091.837692,354.6379204,354.6379106,350.6937728,350.6937257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,https://doi.org/10.1002/ejic.201600573,-2000,3551,1008,739,mer-[PtCl3F3] 2-,anion,oct,hal,[Pt-2]([Cl])([F])([F])([Cl])([Cl])[F],562.9084328,562.3013145,562.3011353,355.4963457,355.4963459,351.2824377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,https://doi.org/10.1002/ejic.201600573,-2000,3191,1116.7,744,fac-[PtCl3F3] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([Cl])([Cl])[Cl],564.0184255,564.0180678,564.0180219,351.5170093,351.516774,351.5167948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,https://doi.org/10.1002/ejic.201600573,-2000,2907,981.3,634,mer-[PtBr3F3] 2-,anion,oct,hal,[Pt-2]([Br])([F])([F])([Br])([Br])[F],1085.115358,1080.829455,1080.830988,354.677758,354.6777661,350.1489474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,https://doi.org/10.1002/ejic.201600573,-2000,2534,1044.7,658,trans-[PtCl4F2] 2-,anion,oct,hal,[Pt-2]([F])([Cl])([Cl])([F])([Cl])[Cl],560.7704984,560.7704967,560.7704512,560.7704514,355.7925692,355.7925639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,https://doi.org/10.1002/ejic.201600573,-2000,2487,1453.9,632,fac-[PtBr3F3] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([Br])([Br])[Br],1086.679589,1086.67887,1086.679028,350.3969926,350.3970254,350.3969947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,https://doi.org/10.1002/ejic.201600573,-2000,2171,746.7,662,cis-[PtCl4F2] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Cl])([F])[F],563.0644989,563.0644919,561.5307706,561.5301637,351.4569728,351.4569683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,https://doi.org/10.1002/ejic.201600573,-2000,1157,884.2,513,trans-[PtBr4F2] 2-,anion,oct,hal,[Pt-2]([F])([Br])([Br])([F])([Br])[Br],1075.523178,1075.523165,1075.522303,1075.522306,354.4742405,354.4742113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,https://doi.org/10.1002/ejic.201600573,-2000,1142,720.6,513,cis-[PtBr4F2] 2-,anion,oct,hal,[Pt-2]([F])([Br])([Br])([Br])([Br])[F],1080.853818,1080.854107,1077.004163,1077.001552,349.9079199,349.9079149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,https://doi.org/10.1002/ejic.201600573,-2000,1111,1055.3,579,[PtCl5F]2-,anion,oct,hal,[Pt-2]([F])([Cl])([Cl])([Cl])([Cl])[Cl],562.5325253,560.4599024,560.4593583,560.4592453,560.4585782,351.4164024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
